Model,Accuracy,Precision,Recall,F1-Score,CV_Accuracy,CV_Std,ROC_AUC
Naive Bayes,0.9166666666666666,0.8571428571428571,1.0,0.9230769230769231,0.6733333333333335,0.1854723699099141,0.9166666666666667
SVM (Linear),0.8333333333333334,0.75,1.0,0.8571428571428571,0.8,0.19436506316151,1.0
Linear Discriminant Analysis,0.8333333333333334,0.75,1.0,0.8571428571428571,0.8333333333333333,0.149071198499986,1.0
Logistic Regression,0.75,0.6666666666666666,1.0,0.8,0.76,0.16786237749352229,1.0
SVM (RBF),0.75,0.6666666666666666,1.0,0.8,0.7933333333333333,0.16248076809271922,1.0
Quadratic Discriminant Analysis,0.75,0.6666666666666666,1.0,0.8,0.7933333333333333,0.1236482466066094,1.0
K-Nearest Neighbors,0.75,0.7142857142857143,0.8333333333333334,0.7692307692307693,0.8266666666666668,0.10624918300339486,0.8194444444444444
XGBoost,0.6666666666666666,0.625,0.8333333333333334,0.7142857142857143,0.6066666666666667,0.1756258649642599,0.8333333333333334
Random Forest,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6466666666666667,0.14391355429948605,0.8333333333333334
Gradient Boosting,0.5833333333333334,0.5714285714285714,0.6666666666666666,0.6153846153846154,0.6466666666666667,0.14391355429948605,0.75
Decision Tree,0.5,0.5,0.5,0.5,0.6399999999999999,0.16786237749352229,0.5
